transaction_id,investor_id,amfi_code,fund_name,transaction_type,amount,transaction_date,kyc_status
1,29241,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Lumpsum,46235,2025-10-18,Pending
2,89691,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Lumpsum,13176,2025-05-21,Verified
3,60413,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Lumpsum,16441,2026-01-26,Pending
4,16660,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,45445,2025-05-26,Verified
5,88546,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,61971,2026-01-26,Pending
6,35251,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Lumpsum,27558,2026-04-08,Verified
7,51044,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Redemption,99824,2025-12-28,Pending
8,38205,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Redemption,89230,2025-02-19,Verified
9,48108,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,54133,2025-02-26,Pending
10,57933,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Lumpsum,95104,2025-02-10,Pending
11,69040,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,72251,2025-04-21,Pending
12,45060,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,70360,2025-03-29,Pending
13,54939,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Redemption,46414,2025-05-14,Pending
14,14589,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Redemption,83380,2025-11-08,Verified
15,92255,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,28542,2025-01-11,Verified
16,95332,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,77530,2025-03-29,Pending
17,17936,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,37569,2025-06-04,Verified
18,67412,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Lumpsum,34405,2025-09-26,Verified
19,56729,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Redemption,74214,2025-03-18,Pending
20,33728,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,40194,2026-05-15,Verified
21,21202,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,64146,2025-02-12,Verified
22,74205,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Redemption,61231,2025-05-20,Verified
23,30800,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,68930,2026-01-19,Verified
24,77817,119092,HDFC Money Market Fund - Growth Option - Direct Plan,SIP,54170,2025-12-31,Pending
25,72988,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Lumpsum,59073,2025-11-20,Verified
26,80159,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,SIP,94562,2025-11-02,Pending
27,68495,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,46225,2026-03-25,Pending
28,61429,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,95899,2025-09-24,Verified
29,36181,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Lumpsum,27858,2025-06-16,Verified
30,84282,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,25808,2025-02-24,Verified
31,84093,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Lumpsum,68621,2025-04-29,Pending
32,33005,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,SIP,70554,2025-08-04,Pending
33,86327,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Redemption,87425,2025-10-28,Verified
34,30541,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,31543,2025-09-12,Pending
35,42499,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,91931,2026-05-10,Pending
36,70577,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,52834,2025-02-22,Pending
37,56411,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Redemption,8246,2026-02-18,Pending
38,97048,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,89519,2026-01-21,Pending
39,62049,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,13957,2025-10-14,Verified
40,17670,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,12725,2025-03-14,Verified
41,85686,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,90856,2026-04-07,Pending
42,15906,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Redemption,37202,2025-03-22,Verified
43,56059,119092,HDFC Money Market Fund - Growth Option - Direct Plan,SIP,81990,2026-05-05,Verified
44,21364,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,29808,2025-11-17,Verified
45,16437,119092,HDFC Money Market Fund - Growth Option - Direct Plan,SIP,22093,2025-01-17,Pending
46,43233,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,SIP,20167,2025-05-14,Verified
47,33154,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,55106,2026-04-18,Verified
48,24009,119092,HDFC Money Market Fund - Growth Option - Direct Plan,SIP,12316,2025-12-01,Verified
49,98358,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,37621,2026-02-28,Pending
50,82906,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Redemption,47868,2025-02-01,Pending
51,18190,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Lumpsum,56922,2025-04-11,Verified
52,92768,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,18529,2025-08-12,Pending
53,68373,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Lumpsum,2299,2026-02-09,Pending
54,91763,119092,HDFC Money Market Fund - Growth Option - Direct Plan,SIP,78829,2025-07-12,Verified
55,82857,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,SIP,85743,2026-04-24,Verified
56,12758,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,525,2025-07-15,Verified
57,89040,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,38747,2025-03-17,Verified
58,80602,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,SIP,55219,2025-12-24,Pending
59,67639,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Lumpsum,40819,2025-02-14,Verified
60,81459,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Redemption,98208,2025-10-22,Verified
61,97761,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,25902,2026-01-01,Pending
62,26872,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,SIP,80625,2026-03-03,Pending
63,18361,125497,SBI Small Cap Fund - Direct Plan - Growth,Redemption,47345,2025-03-11,Verified
64,48033,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,36808,2026-03-08,Verified
65,48264,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,51126,2025-01-03,Verified
