date,nav,fund_name
03-01-2022,43.0015,SBI Small Cap Fund - Direct Plan - Growth
04-01-2022,43.2287,SBI Small Cap Fund - Direct Plan - Growth
05-01-2022,43.4312,SBI Small Cap Fund - Direct Plan - Growth
06-01-2022,44.1113,SBI Small Cap Fund - Direct Plan - Growth
07-01-2022,43.749,SBI Small Cap Fund - Direct Plan - Growth
10-01-2022,43.4262,SBI Small Cap Fund - Direct Plan - Growth
11-01-2022,43.0757,SBI Small Cap Fund - Direct Plan - Growth
12-01-2022,42.5002,SBI Small Cap Fund - Direct Plan - Growth
13-01-2022,40.8559,SBI Small Cap Fund - Direct Plan - Growth
14-01-2022,41.4588,SBI Small Cap Fund - Direct Plan - Growth
17-01-2022,41.9872,SBI Small Cap Fund - Direct Plan - Growth
18-01-2022,41.0485,SBI Small Cap Fund - Direct Plan - Growth
19-01-2022,40.8055,SBI Small Cap Fund - Direct Plan - Growth
20-01-2022,40.3714,SBI Small Cap Fund - Direct Plan - Growth
21-01-2022,39.9657,SBI Small Cap Fund - Direct Plan - Growth
24-01-2022,38.703,SBI Small Cap Fund - Direct Plan - Growth
25-01-2022,38.3569,SBI Small Cap Fund - Direct Plan - Growth
26-01-2022,38.72,SBI Small Cap Fund - Direct Plan - Growth
27-01-2022,40.2259,SBI Small Cap Fund - Direct Plan - Growth
28-01-2022,40.4839,SBI Small Cap Fund - Direct Plan - Growth
31-01-2022,40.5784,SBI Small Cap Fund - Direct Plan - Growth
01-02-2022,40.2849,SBI Small Cap Fund - Direct Plan - Growth
02-02-2022,39.9424,SBI Small Cap Fund - Direct Plan - Growth
03-02-2022,40.53,SBI Small Cap Fund - Direct Plan - Growth
04-02-2022,40.7272,SBI Small Cap Fund - Direct Plan - Growth
07-02-2022,40.3593,SBI Small Cap Fund - Direct Plan - Growth
08-02-2022,39.761,SBI Small Cap Fund - Direct Plan - Growth
09-02-2022,39.6844,SBI Small Cap Fund - Direct Plan - Growth
10-02-2022,39.3866,SBI Small Cap Fund - Direct Plan - Growth
11-02-2022,39.403,SBI Small Cap Fund - Direct Plan - Growth
14-02-2022,39.2871,SBI Small Cap Fund - Direct Plan - Growth
15-02-2022,39.5362,SBI Small Cap Fund - Direct Plan - Growth
16-02-2022,38.8057,SBI Small Cap Fund - Direct Plan - Growth
17-02-2022,39.4607,SBI Small Cap Fund - Direct Plan - Growth
18-02-2022,41.125,SBI Small Cap Fund - Direct Plan - Growth
21-02-2022,41.8819,SBI Small Cap Fund - Direct Plan - Growth
22-02-2022,42.0402,SBI Small Cap Fund - Direct Plan - Growth
23-02-2022,42.6172,SBI Small Cap Fund - Direct Plan - Growth
24-02-2022,41.9935,SBI Small Cap Fund - Direct Plan - Growth
25-02-2022,41.0171,SBI Small Cap Fund - Direct Plan - Growth
28-02-2022,41.5137,SBI Small Cap Fund - Direct Plan - Growth
01-03-2022,41.1993,SBI Small Cap Fund - Direct Plan - Growth
02-03-2022,40.3877,SBI Small Cap Fund - Direct Plan - Growth
03-03-2022,39.8744,SBI Small Cap Fund - Direct Plan - Growth
04-03-2022,39.2181,SBI Small Cap Fund - Direct Plan - Growth
07-03-2022,39.3168,SBI Small Cap Fund - Direct Plan - Growth
08-03-2022,39.6798,SBI Small Cap Fund - Direct Plan - Growth
09-03-2022,40.228,SBI Small Cap Fund - Direct Plan - Growth
